popularity,source_package,binary_package,script,already_done
,caml-crush,caml-crush-server,caml-crush-server,0
,dibbler,dibbler-client,dibbler-client,0
,dibbler,dibbler-relay,dibbler-relay,0
,dibbler,dibbler-server,dibbler-server,0
,elida,elida,elida,0
,fai,fai-nfsroot,fai-abort,0
,freewnn,freewnn-cserver,freewnn-cserver,0
,freewnn,freewnn-jserver,freewnn-jserver,0
,freewnn,freewnn-kserver,freewnn-kserver,0
,proxy-suite,ftp-proxy,ftp-proxy,0
,globus-scheduler-event-generator,globus-scheduler-event-generator-progs,globus-scheduler-event-generator,0
,gridengine,gridengine-exec,gridengine-exec,0
,gridengine,gridengine-master,gridengine-master,0
,gsmlib,gsm-utils,gsm-utils,0
,hippotat,hippotat-server,hippotatd,0
,inetutils,inetutils-inetd,inetutils-inetd,0
,inetutils,inetutils-syslogd,inetutils-syslogd,0
,isc-dhcp,isc-dhcp-relay,isc-dhcp-relay,0
,isc-dhcp,isc-dhcp-server,isc-dhcp-server,0
,libvirt,libvirt-daemon-system-sysv,libvirt-guests,0
,libvirt,libvirt-daemon-system-sysv,libvirtd,0
,xsp,mono-xsp4,mono-xsp4,0
,nbd,nbd-server,nbd-server,0
,nss-pam-ldapd,nslcd,nslcd,0
,oar,oar-node,oar-node,0
,oar,oar-server,oar-server,0
,open-build-service,obs-worker,obsworker,0
,openstack-meta-packages,openstack-tempest-ci-live-booter,openstack-tempest-ci-live-booter,0
,openvswitch,openvswitch-testcontroller,openvswitch-testcontroller,0
,openvswitch,openvswitch-vtep,openvswitch-vtep,0
,nss-pam-ldapd,pynslcd,pynslcd,0
,rplay,rplay-server,rplay,0
,rsplib,rsplib-registrar,rsplib-registrar,0
,netkit-rwho,rwhod,rwhod,0
,cyrus-sasl2,sasl2-bin,saslauthd,0
,openldap,slapd,slapd,0
,slony1-2,slony1-2-bin,slony1,0
,tango,tango-accesscontrol,tango-accesscontrol,0
,tango,tango-db,tango-db,0
,tango,tango-starter,tango-starter,0
,torrus,torrus-common,torrus-common,0
,wvstreams,uniconfd,uniconfd,0
,libvirt,libvirt-daemon-system-sysv,virtlogd,0
,voms,voms-server,voms,0
,wide-dhcpv6,wide-dhcpv6-client,wide-dhcpv6-client,0
,wide-dhcpv6,wide-dhcpv6-relay,wide-dhcpv6-relay,0
,wide-dhcpv6,wide-dhcpv6-server,wide-dhcpv6-server,0
,zemberek-server,zemberek-server,zemberek-server,0
,zephyr,zephyr-server,zephyrd,0
,zephyr,zephyr-server-krb5,zephyrd,0
,zephyr,zephyr-clients,zhm,0
34,util-linux,util-linux-extra,hwclock.sh,0
45,procps,procps,procps,0
111,kmod,kmod,kmod,0
130,busybox,busybox-syslogd,busybox-klogd,0
130,busybox,busybox-syslogd,busybox-syslogd,0
130,busybox,udhcpd,udhcpd,0
147,console-setup,console-setup-freebsd,console-setup.sh,0
147,console-setup,console-setup-linux,console-setup.sh,0
147,console-setup,console-setup-freebsd,keyboard-setup.sh,0
147,console-setup,console-setup-linux,keyboard-setup.sh,0
253,sudo,sudo-ldap,sudo-ldap,0
600,git,git-daemon-sysvinit,git-daemon,0
890,xorg,x11-common,x11-common,0
1037,speech-dispatcher,speech-dispatcher,speech-dispatcher,0
1594,screen,screen,screen-cleanup,0
2694,exim4,exim4-base,exim4,0
3685,cryptsetup,cryptsetup,cryptdisks,0
3685,cryptsetup,cryptsetup,cryptdisks-early,0
3869,sysvinit,sysv-rc,README,0
3869,sysvinit,bootlogd,bootlogd,0
3869,sysvinit,initscripts,bootlogs,0
3869,sysvinit,initscripts,bootmisc.sh,0
3869,sysvinit,initscripts,brightness,0
3869,sysvinit,initscripts,checkfs.sh,0
3869,sysvinit,initscripts,checkroot-bootclean.sh,0
3869,sysvinit,initscripts,checkroot.sh,0
3869,sysvinit,initscripts,halt,0
3869,sysvinit,initscripts,hostname.sh,0
3869,sysvinit,initscripts,killprocs,0
3869,sysvinit,initscripts,mount-configfs,0
3869,sysvinit,initscripts,mountall-bootclean.sh,0
3869,sysvinit,initscripts,mountall.sh,0
3869,sysvinit,initscripts,mountdevsubfs.sh,0
3869,sysvinit,initscripts,mountkernfs.sh,0
3869,sysvinit,initscripts,mountnfs-bootclean.sh,0
3869,sysvinit,initscripts,mountnfs.sh,0
3869,sysvinit,sysv-rc,rc,0
3869,sysvinit,initscripts,rc.local,0
3869,sysvinit,sysv-rc,rcS,0
3869,sysvinit,initscripts,reboot,0
3869,sysvinit,initscripts,rmnologin,0
3869,sysvinit,initscripts,sendsigs,0
3869,sysvinit,initscripts,single,0
3869,sysvinit,bootlogd,stop-bootlogd,0
3869,sysvinit,bootlogd,stop-bootlogd-single,0
3869,sysvinit,initscripts,umountfs,0
3869,sysvinit,initscripts,umountnfs.sh,0
3869,sysvinit,initscripts,umountroot,0
3869,sysvinit,initscripts,urandom,0
4169,galera-3,galera-arbitrator-3,garb,0
4493,rrdtool,rrdcached,rrdcached,0
4552,clamav,clamav-milter,clamav-milter,0
4813,cpufrequtils,cpufrequtils,cpufrequtils,0
4813,cpufrequtils,cpufrequtils,loadcpufreq,0
6055,monit,monit,monit,0
6104,timidity,timidity-daemon,timidity,0
6396,xinetd,xinetd,xinetd,0
6608,openipmi,openipmi,openipmi,0
6865,preload,preload,preload,0
7335,sysfsutils,sysfsutils,sysfsutils,0
7379,munin,munin,munin,0
8302,fetchmail,fetchmail,fetchmail,0
8551,stunnel4,stunnel4,stunnel4,0
8799,ifplugd,ifplugd,ifplugd,0
9109,sendmail,sendmail-bin,sendmail,0
9543,alsa-tools,ld10k1,ld10k1,0
10134,xl2tpd,xl2tpd,xl2tpd,0
10292,gkrellm,gkrellmd,gkrellmd,0
10346,linuxlogo,linuxlogo,linuxlogo,0
10385,mpd,mpd,mpd,0
10498,mpt-status,mpt-status,mpt-statusd,0
11129,tftp-hpa,tftpd-hpa,tftpd-hpa,0
11188,kexec-tools,kexec-tools,kexec,0
11188,kexec-tools,kexec-tools,kexec-load,0
11389,uwsgi,uwsgi,uwsgi,0
11429,mumble,mumble-server,mumble-server,0
11688,ipvsadm,ipvsadm,ipvsadm,0
12180,amule,amule-daemon,amule-daemon,0
12373,uml-utilities,uml-utilities,uml-utilities,0
13213,pcp,pcp,pcp,0
13598,rng-tools-debian,rng-tools-debian,rng-tools-debian,0
13800,edac-utils,edac-utils,edac,0
14454,sbuild,buildd,buildd,0
14753,dictd,dictd,dictd,0
14936,lpr,lpr,lpd,0
15043,pure-ftpd,pure-ftpd,pure-ftpd,0
15043,pure-ftpd,pure-ftpd-ldap,pure-ftpd-ldap,0
15043,pure-ftpd,pure-ftpd-mysql,pure-ftpd-mysql,0
15043,pure-ftpd,pure-ftpd-postgresql,pure-ftpd-postgresql,0
15354,ceph,radosgw,radosgw,0
16104,scsitools,scsitools,scsitools-pre.sh,0
16104,scsitools,scsitools,scsitools.sh,0
16572,icecast2,icecast2,icecast2,0
17267,cpufreqd,cpufreqd,cpufreqd,0
17383,multipath-tools,multipath-tools-boot,multipath-tools-boot,0
17684,aumix,aumix-common,aumix,0
18485,pcaputils,pcaputils,pcapdump,0
18896,lsyncd,lsyncd,lsyncd,0
20181,vtun,vtun,vtun,0
20219,shellinabox,shellinabox,shellinabox,0
21067,netperf,netperf,netperf,0
21215,sabnzbdplus,sabnzbdplus,sabnzbdplus,0
21487,darkstat,darkstat,darkstat,0
21906,bluemon,bluemon,bluemon,0
22018,pioneers,pioneers-metaserver,pioneers-metaserver,0
22811,distcc,distcc,distcc,0
23029,spamass-milter,spamass-milter,spamass-milter,0
24659,lprng,lprng,lprng,0
24870,portsentry,portsentry,portsentry,0
24881,samhain,samhain,samhain,0
25694,ganeti,ganeti,ganeti,0
26184,sphinxsearch,sphinxsearch,sphinxsearch,0
26634,rlinetd,rlinetd,rlinetd,0
26861,cachefilesd,cachefilesd,cachefilesd,0
27464,thin,thin,thin,0
27857,mgetty,mgetty-fax,mgetty-fax,0
27875,elogind,elogind,elogind,0
28359,icecc,icecc,icecc-scheduler,0
28359,icecc,icecc,iceccd,0
28426,inadyn,inadyn,inadyn,0
28665,webfs,webfs,webfs,0
28778,live-config,live-config-sysvinit,live-config,0
29015,and,and,and,0
29421,tetrinetx,tetrinetx,tetrinetx,0
29651,dump1090-mutability,dump1090-mutability,dump1090-mutability,0
29726,csync2,csync2,csync2,0
30011,rotter,rotter,rotter,0
30287,darkice,darkice,darkice,0
30357,apt-cacher,apt-cacher,apt-cacher,0
30426,smstools,smstools,smstools,0
30686,bitlbee,bitlbee-common,bitlbee,0
30867,debian-edu-config,debian-edu-config,chromium-ldapconf,0
30867,debian-edu-config,debian-edu-config,enable-nat,0
30867,debian-edu-config,debian-edu-config,fetch-ldap-cert,0
30867,debian-edu-config,debian-edu-config,fetch-rootca-cert,0
30867,debian-edu-config,debian-edu-config,firefox-ldapconf,0
31030,miredo,miredo-server,miredo-server,0
31272,nas,nas,nas,0
31309,vmtouch,vmtouch,vmtouch,0
31392,policyd-weight,policyd-weight,policyd-weight,0
32172,debian-edu-install,debian-edu-install,xdebian-edu-firstboot,0
32550,snmptrapfmt,snmptrapfmt,snmptrapfmt,0
32781,fastd,fastd,fastd,0
33349,collectl,collectl,collectl,0
33874,n2n,n2n,n2n,0
35504,iaxmodem,iaxmodem,iaxmodem,0
35614,xmbmon,mbmon,mbmon,0
35616,zookeeper,zookeeperd,zookeeper,0
35618,arpalert,arpalert,arpalert,0
36123,dhcp-probe,dhcp-probe,dhcp-probe,0
36785,jitterentropy-rngd,jitterentropy-rngd,jitterentropy-rngd,0
36846,openrc,openrc,agetty,0
36846,openrc,openrc,cgroups,0
36846,openrc,openrc,rc,0
36846,openrc,openrc,rcS,0
36846,openrc,openrc,savecache,0
37200,mini-httpd,mini-httpd,mini-httpd,0
37771,ocfs2-tools,ocfs2-tools,o2cb,0
37771,ocfs2-tools,ocfs2-tools,ocfs2,0
37878,httpry,httpry-daemon,httpry,0
38204,squeezelite,squeezelite,squeezelite,0
38204,squeezelite,squeezelite-pa,squeezelite,0
38204,squeezelite,squeezelite-pulseaudio,squeezelite,0
38771,amavisd-milter,amavisd-milter,amavisd-milter,0
39288,mpdscribble,mpdscribble,mpdscribble,0
39364,apf-firewall,apf-firewall,apf-firewall,0
39621,cntlm,cntlm,cntlm,0
39882,cwdaemon,cwdaemon,cwdaemon,0
40812,mysecureshell,mysecureshell,mysecureshell,0
41044,popa3d,popa3d,popa3d,0
41317,vdradmin-am,vdradmin-am,vdradmin-am,0
41569,tayga,tayga,tayga,0
41581,aprx,aprx,aprx,0
41831,tcpspy,tcpspy,tcpspy,0
42199,fprobe,fprobe,fprobe,0
42375,ndppd,ndppd,ndppd,0
42684,ptunnel,ptunnel,ptunnel,0
43274,xymon,xymon,xymon,0
43274,xymon,xymon-client,xymon-client,0
43567,console-log,console-log,console-log,0
43573,dns2tcp,dns2tcp,dns2tcp,0
43600,igmpproxy,igmpproxy,igmpproxy,0
44041,ptpd,ptpd,ptpd,0
44078,stun,stun-server,stun,0
44472,ipfm,ipfm,ipfm,0
44479,kannel,kannel,kannel,0
44926,p910nd,p910nd,p910nd,0
45046,ipwatchd,ipwatchd,ipwatchd,0
45626,sleepd,sleepd,sleepd,0
46326,sysrqd,sysrqd,sysrqd,0
46942,net-acct,net-acct,net-acct,0
47502,das-watchdog,das-watchdog,das-watchdog,0
47716,pommed,pommed,pommed,0
48159,rarpd,rarpd,rarpd,0
48618,ekeyd,ekeyd,ekeyd,0
48618,ekeyd,ekeyd-egd-linux,ekeyd-egd-linux,0
49253,macfanctld,macfanctld,macfanctld,0
49265,mumudvb,mumudvb,mumudvb,0
49268,netplug,netplug,netplug,0
49282,pandorafms-agent,pandorafms-agent,pandorafms-agent,0
49345,restartd,restartd,restartd,0
49407,cvsd,cvsd,cvsd,0
49470,ircd-hybrid,ircd-hybrid,ircd-hybrid,0
49684,opensysusers,opensysusers,opensysusers,0
49789,tryton-server,tryton-server,tryton-server-cron,0
49789,tryton-server,tryton-server,tryton-server-worker,0
50156,powerman,powerman,powerman,0
50236,sitesummary,sitesummary-client,sitesummary-client,0
50355,gbrowse,gbrowse,gbrowse-aws-balancer,0
50355,gbrowse,gbrowse,gbrowse-slave,0
52180,ola,ola,olad,0
52318,virtuoso-opensource,virtuoso-opensource-7,virtuoso-opensource-7,0
52325,whereami,whereami,whereami,0
52484,inetsim,inetsim,inetsim,0
52948,userv,userv,userv,0
53435,perdition,perdition,perdition,0
53739,hpsockd,hpsockd,hpsockd,0
53754,ippl,ippl,ippl,0
54270,canna,canna,canna,0
54922,clsync,clsync,clsync,0
55338,postfix-gld,postfix-gld,gld,0
55405,qpsmtpd,qpsmtpd,qpsmtpd,0
55834,libnet-proxy-perl,libnet-proxy-perl,sslh,0
55997,mysqmail,mysqmail-courier-logger,mysqmail-courier-logger,0
55997,mysqmail,mysqmail-dovecot-logger,mysqmail-dovecot-logger,0
55997,mysqmail,mysqmail-postfix-logger,mysqmail-postfix-logger,0
55997,mysqmail,mysqmail-pure-ftpd-logger,mysqmail-pure-ftpd-logger,0
57052,iptotal,iptotal,iptotal,0
57707,didiwiki,didiwiki,didiwiki,0
57789,istgt,istgt,istgt,0
58480,uif,uif,uif,0
58520,activemq,activemq,activemq,0
59429,sqlgrey,sqlgrey,sqlgrey,0
60380,squidtaild,squidtaild,squidtaild,0
60456,bwbar,bwbar,bwbar,0
60529,fetch-crl,fetch-crl,fetch-crl-boot,0
60529,fetch-crl,fetch-crl,fetch-crl-cron,0
61039,pads,pads,pads,0
61202,repmgr,repmgr-common,repmgrd,0
62195,solid-pop3d,solid-pop3d,solid-pop3d,0
62402,diod,diod,diod,0
62548,jabberd2,jabberd2,jabberd2,0
62993,llmnrd,llmnrd,llmnrd,0
63482,dphys-config,dphys-config,dphys-config,0
64557,yubiserver,yubiserver,yubiserver,0
65440,olpc-powerd,olpc-powerd,olpc-powerd,0
65726,sagan,sagan,sagan,0
65857,babeld,babeld,babeld,0
65957,dmucs,dmucs,dmucs,0
65985,farpd,farpd,farpd,0
66023,gearman-server,gearman-server,gearman-server,0
66058,gvpe,gvpe,gvpe,0
66846,pyro4,pyro4,pyro4-nsd,0
67197,couriergraph,couriergraph,couriergraph,0
67329,guidedog,guidedog,guidedog,0
68428,reniced,reniced,reniced,0
68540,tenshi,tenshi,tenshi,0
68865,gap-scscp,gap-scscp,gapd,0
69859,plptools,plptools,plptools,0
70116,scanlogd,scanlogd,scanlogd,0
70215,welcome2l,welcome2l,welcome2l,0
70478,distributed-net,distributed-net,distributed-net,0
72095,ahcpd,ahcpd,ahcpd,0
72110,atheme-services,atheme-services,atheme-services,0
72447,ifetch-tools,ifetch-tools,ifetch-tools,0
73236,mason,mason,mason,0
73858,watchcatd,watchcatd,watchcatd,0
74096,doodle,doodled,doodled,0
75281,minicoredumper,minicoredumper,minicoredumper,0
75994,speechd-up,speechd-up,speechd-up,0
76179,avr-evtd,avr-evtd,avr-evtd,0
76185,bcron,bcron,bcron-sched,0
76185,bcron,bcron,bcron-spool,0
76185,bcron,bcron,bcron-update,0
76206,bucardo,bucardo,bucardo,0
76573,irker,irker,irker,0
78694,esekeyd,esekeyd,esekeyd,0
78982,ipband,ipband,ipband,0
80452,oss-preserve,oss-preserve,oss-preserve,0
80567,ptunnel-ng,ptunnel-ng,ptunnel-ng,0
80846,remote-tty,remote-tty,remote-tty,0
80944,solarpowerlog,solarpowerlog,solarpowerlog,0
81069,uhub,uhub,uhub,0
81165,zurl,zurl,zurl,0
81384,cyrus-imspd,cyrus-imspd,cyrus-imspd,0
81434,dhis-client,dhis-client,dhis-client,0
81747,gsm0710muxd,gsm0710muxd,gsm0710muxd,0
81839,ircd-ircu,ircd-ircu,ircd-ircu,0
83254,minisapserver,minisapserver,minisapserver,0
83333,nield,nield,nield,0
83982,ramond,ramond,ramond,0
84527,camo,camo,camo,0
85083,gross,gross,gross,0
87060,omnievents,omnievents,omniorb-eventservice,0
87756,shishi,shishi-kdc,shishi-kdc,0
91131,loggerhead,loggerhead,loggerhead,0
91574,perlbal,perlbal,perlbal,0
92467,tircd,tircd,tircd,0
92510,tvoe,tvoe,tvoe,0
93365,errbot,errbot,errbot,0
97093,pinto,pinto,pinto,0
97900,secnet,secnet,secnet,0
98238,uanytun,uanytun,uanytun,0
99137,dhis-server,dhis-server,dhis-server,0
99643,gnustep-base,gnustep-base-runtime,gdomap,0
99974,hopm,hopm,hopm,0
103369,nagzilla,nagzilla,nagzillad,0
103750,openstack-cluster-installer,openstack-cluster-installer-poc,oci-poc-virtual-network,0
113121,lnpd,lnpd,lnpd,0
116905,xringd,xringd,xringd,0
117285,android-androresolvd,android-androresolvd,android-androresolvd,0
121487,heimdal,heimdal-kcm,heimdal-kcm,0
121487,heimdal,heimdal-kdc,heimdal-kdc,0
122093,jamnntpd,jamnntpd,jamnntpd,0
130690,olpc-kbdshim,olpc-kbdshim,olpc-kbdshim,0
133284,quickml,quickml,quickml,0
135349,ums2net,ums2net,ums2net,0
135900,xen,xen-utils-common,xen,0
135900,xen,xen-utils-common,xendomains,0
136049,yaku-ns,yaku-ns,yaku-ns,0
144140,fair,fair,fair,0
146597,gmrender-resurrect,gmediarender,gmediarender,0
174004,mactelnet,mactelnet-server,mactelnet-server,0
176882,npd6,npd6,npd6,0
181098,ppp-gatekeeper,ppp-gatekeeper,ppp-gatekeeper,0
185579,rtirq,rtirq-init,rtirq,0
186369,sauce,sauce,sauce,0
187782,stompserver,stompserver,stompserver,0
188014,sxmo-utils,sxmo-utils,sxmo-setpermissions,0
191477,x2gothinclient,x2gothinclient-chroot,x2gothinclient-chroot,0
,aodh,aodh-api,aodh-api,1
,aodh,aodh-evaluator,aodh-evaluator,1
,aodh,aodh-expirer,aodh-expirer,1
,aodh,aodh-listener,aodh-listener,1
,aodh,aodh-notifier,aodh-notifier,1
,apache-directory-server,apacheds,apacheds,1
,python-ara,ara-server,ara-server,1
,nordugrid-arc,nordugrid-arc-arex,arc-arex,1
,nordugrid-arc,nordugrid-arc-arex,arc-arex-ws,1
,nordugrid-arc,nordugrid-arc-datadelivery-service,arc-datadelivery-service,1
,nordugrid-arc,nordugrid-arc-gridftpd,arc-gridftpd,1
,nordugrid-arc,nordugrid-arc-infosys-ldap,arc-infosys-ldap,1
,nordugrid-arc,nordugrid-arc-hed,arched,1
,linux-atm,atm-tools,atm,1
,audit,auditd,auditd,1
,barbican,barbican-api,barbican-api,1
,barbican,barbican-keystone-listener,barbican-keystone-listener,1
,barbican,barbican-worker,barbican-worker,1
,biometric-authentication,biometric-auth,biometric-authentication,1
,netkit-bootparamd,bootparamd,bootparamd,1
,boxbackup,boxbackup-client,boxbackup-client,1
,boxbackup,boxbackup-server,boxbackup-server,1
,carbon-c-relay,carbon-c-relay,carbon-c-relay,1
,ceilometer,ceilometer-agent-central,ceilometer-agent-central,1
,ceilometer,ceilometer-agent-compute,ceilometer-agent-compute,1
,ceilometer,ceilometer-agent-ipmi,ceilometer-agent-ipmi,1
